#options: 1520x2700 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=13700 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:19.77 aq:11.98 tex:3506614 mv:599586 misc:768 imb:16055 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:22.40 aq:14.59 tex:1634798 mv:78570 misc:2480 imb:2392 pmb:13320 smb:343 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:22.40 aq:17.63 tex:288137 mv:68386 misc:12677 imb:592 pmb:11597 smb:3866 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:22.40 aq:18.71 tex:133810 mv:56628 misc:15122 imb:438 pmb:9730 smb:5887 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:22.40 aq:18.57 tex:104082 mv:35898 misc:15748 imb:307 pmb:7022 smb:8726 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:22.73 aq:14.77 tex:1401537 mv:76649 misc:3318 imb:2189 pmb:13235 smb:631 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:22.57 aq:17.78 tex:265410 mv:69028 misc:12570 imb:470 pmb:11859 smb:3726 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:22.48 aq:18.94 tex:123697 mv:59673 misc:14702 imb:325 pmb:10406 smb:5324 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:22.65 aq:18.83 tex:94453 mv:34968 misc:15843 imb:286 pmb:7322 smb:8447 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:23.00 aq:15.02 tex:1328420 mv:75242 misc:3922 imb:1868 pmb:13266 smb:921 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:22.87 aq:17.92 tex:226592 mv:63646 misc:14058 imb:480 pmb:10702 smb:4873 d:s ref:0 ;
